text_id,title,author,tradition,origin_raw,date_composed,material_type,status,notes
epic-of-gilgamesh,Epic of Gilgamesh,Anonymous,mesopotamian,Mesopotamia,c. 2100–1200 BCE,Epic poetry,pending,
enūma-eliš,Enūma Eliš,Anonymous,mesopotamian,Babylonia,18th–12th c. BCE,Creation myth,pending,
atra-hasis,Atra-Hasis,Anonymous,mesopotamian,Babylonia,18th c. BCE,Flood myth,pending,
baal-cycle,Baal Cycle,Anonymous,levantine,Canaanite (Ugarit),1500–1200 BCE,Mythic poetry,pending,
book-of-the-dead,Book of the Dead,Anonymous,egyptian,Ancient Egypt,1550–50 BCE,Funerary texts,pending,
genesis-kjv,Genesis (KJV),Multiple authors,hebrew,Ancient Israel,10th–5th c. BCE,Religious scripture,pending,
the-iliad,The Iliad,Homer,greek,Ancient Greece,c. 8th century BCE,Epic poetry,pending,
the-odyssey,The Odyssey,Homer,greek,Ancient Greece,c. 8th century BCE,Epic poetry,pending,
theogony,Theogony,Hesiod,greek,Ancient Greece,c. 700 BCE,Creation myth,pending,
aesops-fables,Aesop's Fables,Aesop,greek,Ancient Greece,~6th century BCE,Fables,pending,
rigveda,Rigveda,Multiple authors,indian,India,1500–1000 BCE,Sacred hymns,pending,
rāmāyaṇa,Rāmāyaṇa,Vālmīki,indian,India,300–100 BCE,Epic narrative,pending,
mahābhārata,Mahābhārata,Vyāsa,indian,India,400 BCE – 400 CE,Epic narrative,pending,
pañchatantra,Pañchatantra,Unknown,indian,India,3rd century BCE,Animal fables,pending,
jātaka-tales,Jātaka Tales,Anonymous,indian,India/South Asia,3rd century BCE,Moral tales,pending,
poetic-edda,Poetic Edda,Anonymous,norse,Iceland,13th century,Mythic poems,pending,
prose-edda,Prose Edda,Snorri Sturluson,norse,Iceland,c. 1220 CE,Mythology manual,pending,
beowulf,Beowulf,Anonymous,norse,Anglo-Saxon,8th–10th c.,Epic poetry,pending,
the-mabinogion,The Mabinogion,Anonymous,celtic,Wales,12th–13th century,Mythic prose,pending,
táin-bó-cúailnge,Táin Bó Cúailnge,Anonymous,celtic,Ireland,12th century (oral older),Epic saga,pending,
one-thousand-and-one-nights,One Thousand and One Nights,Various,indian,Middle East & South Asia,14th century,Folktale anthology,pending,
shāhnāmeh,Shāhnāmeh,Ferdowsi,persian,Persia (Iran),1010 CE,Epic poetry,pending,
book-of-dede-korkut,Book of Dede Korkut,Anonymous,turkic,Oghuz Turkic,14th–15th century,Heroic epics,pending,
epic-of-manas,Epic of Manas,Anonymous,turkic,Kyrgyz,15th–18th century,Oral epic,pending,
epic-of-king-gesar,Epic of King Gesar,Anonymous,tibetan,Tibet & Central Asia,12th–14th century,Mythic epic,pending,
journey-to-the-west,Journey to the West,Wu Cheng'en,chinese,China,1592,Fantasy epic,pending,
fēngshén-yǎnyì,Fēngshén Yǎnyì,Xu Zhonglin (attrib.),chinese,China,c. 1550,Mythic novel,pending,
kojiki,Kojiki,Ōno Yasumaro,japanese,Japan,712 CE,Mythic chronicle,pending,
popol-vuh,Popol Vuh,Anonymous,mesoamerican,Maya (Guatemala),1550 (oral older),Mythic cosmology,pending,
epic-of-sundiata,Epic of Sundiata,Oral tradition,african,Mali,13th c. (written 20th c.),Oral epic,pending,
anansi-tales,Anansi Tales,Oral tradition,african,West Africa / Caribbean,19th c. collected,Trickster folklore,pending,
le-morte-darthur,Le Morte d'Arthur,Sir Thomas Malory,european,England,1485,Arthurian legend,pending,
divine-comedy,Divine Comedy,Dante Alighieri,roman,Italy,1308–1321,Allegorical epic,pending,
paradise-lost,Paradise Lost,John Milton,european,England,1667,Biblical epic,pending,
grimms-fairy-tales,Grimms' Fairy Tales,Jacob & Wilhelm Grimm,germanic,Germany,1812–1857,Folktales,pending,
mother-goose-tales,Mother Goose Tales,Charles Perrault,european,France,1697,Fairy tales,pending,
bulfinchs-mythology,Bulfinch's Mythology,Thomas Bulfinch,anthology,United States,1855–1863,Mythology handbook,pending,
the-golden-bough,The Golden Bough,James G. Frazer,celtic,Scotland/UK,1890–1915,Comparative mythology,pending,
andrew-langs-fairy-books,Andrew Lang's Fairy Books,Andrew & Nora Lang,anthology,Global sources,1889–1913,Folktale collections,pending,
joseph-jacobs-fairy-tales,Joseph Jacobs' Fairy Tales,Joseph Jacobs,indian,UK/Europe/India,1890–1912,Folktale collections,pending,
russian-fairy-tales,Russian Fairy Tales,Alexander Afanasyev,european,Russian Empire,1855–1863,Folktales,pending,
kalevala,Kalevala,Elias Lönnrot,european,Finland/Karelia,1835–1849,Epic poetry,pending,
south-african-folk-tales,South-African Folk-Tales,James A. Honey,african,South Africa,1910,Oral folklore,pending,
west-african-folk-tales,West African Folk-Tales,W.H. Barker & Cecilia Sinclair,african,West Africa (Ghana),1917,Oral folklore,pending,
yoruba-legends,Yoruba Legends,M. I. Ogumefu,african,Nigeria,1929,Folk legends,pending,
zanzibar-tales,Zanzibar Tales,George W. Bateman,african,Zanzibar (Swahili),1901,Oral folklore,pending,
kaffir-xhosa-folk-lore,Kaffir (Xhosa) Folk-Lore,George McCall Theal,african,South Africa (Xhosa),1886,Folk legends,pending,
ikom-folk-stories-from-southern-nigeria,Ikom Folk Stories from Southern Nigeria,Elphinstone Dayrell,african,Nigeria,1913,Tribal folklore,pending,
myths-and-legends-of-the-bantu,Myths and Legends of the Bantu,Alice Werner,african,Sub-Saharan Africa,1933,Myths and legends,pending,
tales-of-the-north-american-indians,Tales of the North American Indians,Stith Thompson,north-american,North America (various tribes),1929,Native folklore,pending,
myths-of-the-cherokee,Myths of the Cherokee,James Mooney,north-american,Cherokee Nation,1900,Tribal mythology,pending,
myths-and-legends-of-the-mississippi-valley-and-th,Myths and Legends of the Mississippi Valley and the Great Lakes,Katharine B. Judson,north-american,North America,1914,Native American myths,pending,
the-myths-of-mexico-and-peru,The Myths of Mexico and Peru,Lewis Spence,mesoamerican,Mesoamerica & Andes,1913,Mythology,pending,
philippine-folk-tales,Philippine Folk Tales,Mabel Cook Cole,southeast-asian,Philippines,1916,Oral folklore,pending,
malay-magic,Malay Magic,Walter W. Skeat,southeast-asian,Malaysia,1900,Mythic beliefs & folklore,pending,
laos-folk-lore-of-farther-india,Laos Folk-Lore of Farther India,Katherine Neville Fleeson,southeast-asian,Laos/Thailand,1899,Folk tales,pending,
the-legends-and-myths-of-hawaii,The Legends and Myths of Hawaii,King David Kalākaua,polynesian,Hawaii,1888,Myths and legends,pending,
polynesian-mythology,Polynesian Mythology,Sir George Grey,polynesian,New Zealand (Māori),1855,Mythology,pending,
eskimo-folk-tales,Eskimo Folk-Tales,Knud Rasmussen,arctic,Greenland Inuit,1921,Folk tales,pending,
the-pilgrims-progress,The Pilgrim's Progress,John Bunyan,european,England,1678,Allegorical prose,pending,
the-conference-of-the-birds,The Conference of the Birds,Farīd ud-Dīn Attar,persian,Persia,c. 1177,Allegorical poetry,pending,
gnostic-gospels,Gnostic Gospels,Various,egyptian,Early Christian/Egypt,2nd–4th century CE,Religious texts,pending,
inannas-descent,Inanna's Descent to the Underworld,Anonymous,mesopotamian,Sumer,c. 1900-1600 BCE,Descent myth,pending,THE archetypal descent narrative
metamorphoses,Metamorphoses,Ovid,roman,Rome,8 CE,Transformation myths,pending,Comprehensive catalog of 250+ transformation myths
homeric-hymns,Homeric Hymns,Anonymous (attributed to Homer),greek,Ancient Greece,7th-6th century BCE,Religious hymns,pending,"Major hymns to Demeter, Apollo, Hermes, Aphrodite"
aeneid,Aeneid,Virgil,roman,Rome,29-19 BCE,Epic poetry,pending,"Roman foundation myth, includes katabasis (descent to underworld)"
argonautica,Argonautica,Apollonius of Rhodes,greek,Hellenistic Egypt,3rd century BCE,Epic poetry,pending,Jason and the Golden Fleece - quest narrative
volsunga-saga,Völsunga saga,Anonymous,norse,Iceland,13th century,Legendary saga,pending,Sigurd/Siegfried cycle - source for Wagner's Ring
descent-of-ishtar,Descent of Ishtar,Anonymous,mesopotamian,Akkad/Babylonia,c. 1200 BCE,Descent myth,pending,Akkadian version of Inanna's Descent
orphic-hymns,Orphic Hymns,Anonymous (Orphic tradition),greek,Ancient Greece,2nd-3rd century CE,Religious hymns,pending,Mystery tradition hymns to 87 deities
apu-ollantay,Apu Ollantay,Anonymous,south-american,Inca Peru,Pre-Columbian (written 18th c.),Drama,pending,Only known Native American dramatic composition - Inca love story
guarani-creation-myths,Guarani Creation Myths,Oral tradition,south-american,Paraguay/Argentina (Guarani),Pre-Columbian (collected 19th-20th c.),Creation mythology,pending,"Tupã, Ñande Ramõi creation narratives - key South American cosmogony"
pre-columbian-myths,Pre-Columbian America: Myths and Legends,Donald A. Mackenzie,anthology,Mesoamerica & South America,1923,Mythology handbook,pending,"Comprehensive coverage of Aztec, Maya, Inca mythologies"
samguk-yusa,Samguk Yusa (Memorabilia of the Three Kingdoms),Il-yeon,korean,Korea (Goryeo),c. 1280 CE,Mythic chronicle,pending,Earliest record of Dangun legend - Korean foundation myth
byliny-russian-epics,Byliny (Russian Epic Songs),Oral tradition,slavic,Russia,11th-19th century (collected),Epic poetry,pending,"Heroic epics of Ilya Muromets, Dobrynya Nikitich, Alyosha Popovich"
myths-north-american-indians,The Myths of the North American Indians,Lewis Spence,north-american,North America (various tribes),1914,Mythology handbook,pending,Comprehensive survey of North American indigenous myths
introduction-to-mythology,An Introduction to Mythology,Lewis Spence,anthology,Global survey,1921,Mythology handbook,pending,Theoretical framework for comparative mythology study
australian-legendary-tales,Australian Legendary Tales,K. Langloh Parker,australian-aboriginal,Australia (Noongahburrah),1896 (oral tradition ancient),Folk tales,pending,Dreamtime stories from Narran tribe - earliest major collection
more-australian-legendary-tales,More Australian Legendary Tales,K. Langloh Parker,australian-aboriginal,Australia (Various tribes),1898 (oral tradition ancient),Folk tales,pending,Sequel with additional Dreamtime stories
oceanic-mythology,Oceanic Mythology (Mythology of All Races Vol. IX),Roland B. Dixon,oceanic,Polynesia/Melanesia/Micronesia/Indonesia,1916,Mythology handbook,pending,"Comprehensive survey - covers Melanesia, Polynesia, Micronesia, Indonesia"
secret-history-mongols,The Secret History of the Mongols,Anonymous,mongol,Mongolia,c. 1240 CE,Epic chronicle,pending,Chinggis Khan biography - foundational Mongol text
siberian-mythology,Siberian Mythology (Mythology of All Races Vol. IV),Uno Holmberg,siberian,Siberia/Finno-Ugric,1927,Mythology handbook,pending,Covers Finno-Ugric and Siberian shamanic traditions
lithuanian-mythology,Lithuanian Folk-Lore,Various,baltic,Lithuania,1930s (oral tradition ancient),Folk tales,pending,Baltic mythology and folk traditions
shan-hai-jing,Shan Hai Jing (Classic of Mountains and Seas),Anonymous,chinese,China,4th century BCE - 1st century CE,Mythical geography,pending,"Mythical creatures, geography, deities - foundational Chinese mythology"
pyramid-texts,The Pyramid Texts,Anonymous,egyptian,Ancient Egypt,c. 2400-2300 BCE,Funerary texts,pending,Oldest religious texts in world - pharaonic afterlife spells
lebor-gabala,Lebor Gabála Érenn (Book of Invasions),Anonymous,celtic,Ireland,11th century (oral tradition older),Mythic history,pending,Irish mythological history - Tuatha Dé Danann
zend-avesta,Zend Avesta (Sacred Books of the East),Anonymous (Zoroaster attributed),zoroastrian,Persia (Iran),c. 1500-500 BCE (compiled later),Religious scripture,pending,"Complete 3-part translation: Vendidad, Sirozahs/Yasts/Nyayis, Yasna/Visparad/Afrinagans"
legends-of-egyptian-gods,Legends of the Gods: The Egyptian Texts,E.A. Wallis Budge (editor/translator),egyptian,Ancient Egypt,Various ancient sources,Mythology compilation,pending,Contains Isis and Osiris narrative - fills Dying God archetype gap
nihongi,Nihongi (Chronicles of Japan),Prince Toneri et al.,japanese,Japan,720 CE,Mythic chronicle,pending,Second oldest Japanese chronicle - complements Kojiki for validation
myths-of-ife,Myths of Ife,John Wyndham (collector),african,Nigeria (Yoruba),Ancient oral tradition (collected 1921),Creation mythology,pending,"Yoruba creation myth from Ife priests - War of Gods, cosmogony"
yoruba-speaking-peoples,The Yoruba-Speaking Peoples of the Slave Coast of West Africa,A.B. Ellis,african,Nigeria/Benin (Yoruba),1894 (oral tradition ancient),Ethnography/Mythology,pending,"Comprehensive Yoruba religion and mythology including Eshu, Ogun, Shango"
bacchae,The Bacchae,Euripides,greek,Ancient Greece,c. 405 BCE,Tragedy,pending,Dionysus mythology - fills Dying God archetype gap
kogoshui,Kogoshui: Gleanings from Ancient Stories,Imibe no Hironari,japanese,Japan,807 CE,Mythic chronicle,pending,Third major Shinto text - supplements Kojiki and Nihongi
burden-of-isis,The Burden of Isis,Anonymous (Ancient Egyptian),egyptian,Ancient Egypt,Ancient (various periods),Religious hymns,pending,Hymns to Isis - Great Mother archetype
works-and-days,Works and Days,Hesiod,greek,Ancient Greece,c. 700 BCE,Didactic poetry,pending,"Five Ages of Man, Prometheus myth - complements Theogony"
codex-chimalpopoca,Codex Chimalpopoca (History and Mythology of the Aztecs),Anonymous (Nahua),mesoamerican,Mexico (Aztec),16th century (oral tradition ancient),Mythic chronicle,pending,Contains Legend of the Suns (Five Suns) and Annals of Cuauhtitlan - Quetzalcoatl premier source
huarochiri-manuscript,The Huarochiri Manuscript,Anonymous (Quechua),south-american,Peru (Andean),c. 1598 (oral tradition ancient),Mythology compilation,pending,"Only surviving Andean religious text in indigenous language - Paryaqaqa, Cuniraya, mountain deities"
legends-of-maui,Legends of Maui - A Demi-God of Polynesia,W.D. Westervelt (collector),polynesian,Hawaii/Polynesia,Ancient oral tradition (collected 1910),Hero myths,pending,"Maui trickster cycle - snaring the sun, fishing up islands, stealing fire"
maui-thousand-tricks,Maui of a Thousand Tricks,Katharine Luomala,polynesian,Pan-Polynesian,1949 (analysis of ancient traditions),Comparative mythology,pending,Comprehensive Maui scholarship - oceanic trickster comparative study
tlingit-myths-texts,Tlingit Myths and Texts,John R. Swanton (collector),north-american,Alaska (Tlingit),Ancient oral tradition (collected 1909),Mythology collection,pending,Raven trickster cycle - Northwest Coast creation myths
navaho-origin-myths,Origin Myths of the Navaho Indians,Aileen O'Bryan (collector),north-american,Southwest USA (Navajo),Ancient oral tradition (collected 1956),Creation mythology,pending,Navajo emergence myth - journey through four worlds
traditions-of-hopi,The Traditions of the Hopi,H.R. Voth (collector),north-american,Southwest USA (Hopi),Ancient oral tradition (collected 1905),Mythology collection,pending,"100 Hopi folk tales - emergence from underworld, clan wanderings"
seneca-myths,Seneca Indian Myths,Jeremiah Curtin (collector),north-american,Northeast USA (Seneca/Iroquois),Ancient oral tradition (collected 1923),Mythology collection,pending,500 pages of Iroquois mythology - extensive collection
southeastern-myths-tales,Myths and Tales of the Southeastern Indians,John R. Swanton (collector),north-american,"Southeast USA (Creek, Natchez, etc.)",Ancient oral tradition (collected 1929),Mythology collection,pending,"Creek, Hitchiti, Alabama, Kosati, Natchez mythology"
polynesian-mythology-grey,Polynesian Mythology (Grey),Sir George Grey (collector),polynesian,New Zealand (Maori),Ancient oral tradition (collected 1855),Mythology compilation,pending,"Foundational Maori mythology - Rangi and Papa, Maui, Tawhaki"
hawaiian-legends-gods-ghosts,Legends of Gods and Ghosts (Hawaiian Mythology),W.D. Westervelt (collector),polynesian,Hawaii,Ancient oral tradition (collected 1915),Mythology collection,pending,"Hawaiian deities, ghost stories, sacred places"
jataka-cowell,The Jataka (Cowell Edition - Complete),Anonymous (Buddhist),indian,India (Buddhist),c. 4th century BCE onward,Birth stories,pending,547 birth stories of the Buddha - complete 6 volume Cowell/Cambridge edition
dhammapada,The Dhammapada,Anonymous (Buddhist),indian,India (Buddhist),c. 3rd century BCE,Wisdom literature,pending,423 verses - Buddha's Path of Wisdom - core Buddhist scripture
songs-russian-people,Songs of the Russian People,W.R.S. Ralston (collector),slavic,Russia,Ancient oral tradition (collected 1872),Mythology/folklore,pending,"Slavonic mythology and Russian social life - Perun, Veles, domovoy, rusalka"
sixty-slavonic-folktales,Sixty Folk-Tales from Exclusively Slavonic Sources,A.H. Wratislaw (collector),slavic,Slavic regions,Ancient oral tradition (collected 1890),Folktales,pending,Pan-Slavic collection including Earth-Diver creation myth variant
byliny-hero-tales,Byliny Book: Hero Tales of Russia,Marion Chilton Harrison (reteller),slavic,Russia,Medieval oral tradition (collected 1915),Epic poetry,pending,"Ilya Muromets, Dobrynya Nikitich, Alyosha Popovich - bogatyri cycle"
folk-tales-russian,Folk Tales from the Russian,Various (collectors),slavic,Russia,Ancient oral tradition,Folktales,pending,"Includes Baba Yaga, Vasilisa - classic Russian fairy tales"
myths-legends-bantu,Myths and Legends of the Bantu,Alice Werner,african,Sub-Saharan Africa (Bantu),Ancient oral tradition (collected 1933),Mythology compilation,pending,"Comprehensive Bantu mythology - creation, tricksters, ancestors"
treasury-african-folklore,A Treasury of African Folklore,Harold Courlander (collector),african,Pan-African,Ancient oral traditions (collected 1975),Folklore anthology,pending,"Comprehensive - Mwindo epic, Anansi, oral literature across Africa"
cuchulain-of-muirthemne,Cuchulain of Muirthemne,Lady Augusta Gregory (reteller),celtic,Ireland,Medieval (retold 1902),Hero cycle,pending,"Ulster Cycle - Cú Chulainn saga, complements Táin Bó Cúailnge"
gods-fighting-men,Gods and Fighting Men,Lady Augusta Gregory (reteller),celtic,Ireland,Medieval (retold 1904),Mythology,pending,Tuatha Dé Danann and Fianna cycles - Irish divine mythology
bibliotheca-apollodorus,The Library (Bibliotheca),Pseudo-Apollodorus,greek,Ancient Greece,c. 1st-2nd century CE,Mythological compendium,pending,Comprehensive Greek mythology handbook - all major myths systematized
fasti-ovid,Fasti,Ovid,roman,Ancient Rome,c. 8 CE,Religious calendar,pending,Roman festivals and their mythological origins - complements Metamorphoses
tibetan-book-of-dead-evans,The Tibetan Book of the Dead (Evans-Wentz),Padmasambhava (attributed),tibetan,Tibet,8th century CE (compiled later),Funerary text,pending,Bardo Thodol - liberation through hearing in the intermediate state
tao-te-ching,Tao Te Ching,Lao Tzu,chinese,China,c. 6th-4th century BCE,Philosophical scripture,pending,81 verses - foundational Taoist text on the Way and its Power
i-ching,I Ching (Book of Changes),"Anonymous (attributed to Fu Xi, King Wen, Duke of Zhou)",chinese,China,c. 9th century BCE (compiled),Divination/philosophy,pending,64 hexagrams - ancient Chinese divination and wisdom text
chuang-tzu,Chuang Tzu (Zhuangzi),Zhuang Zhou,chinese,China,c. 4th century BCE,Philosophical text,pending,"Inner chapters - Taoist parables and philosophy, butterfly dream"
tale-of-genji,The Tale of Genji,Murasaki Shikibu,japanese,Japan,c. 1000-1012 CE,Novel/court literature,pending,World's first novel - Heian court life and aesthetics
tale-of-heike,The Tale of the Heike (Heike Monogatari),Anonymous,japanese,Japan,c. 1240 CE,Epic/war tale,pending,"Genpei War - Taira vs Minamoto clans, Buddhist impermanence theme"
melanesians-codrington,The Melanesians: Studies in Their Anthropology and Folk-lore,R.H. Codrington,oceanic,Melanesia,1891 (ancient oral traditions),Ethnography/mythology,pending,"Classic study of Melanesian mana, spirits, mythology"
oceanic-mythology-dixon,Oceanic Mythology,Roland B. Dixon,oceanic,Oceania (Pan-Pacific),1916 (comparative study),Comparative mythology,pending,Mythology of All Races Vol. 9 - comprehensive Oceanic coverage
dede-korkut,The Book of Dede Korkut,Anonymous (Oghuz Turkic),turkic,Central Asia/Anatolia,c. 9th-15th century CE,Epic tales,pending,12 stories of Oghuz heroes - foundational Turkic epic
pacific-island-legends,Pacific Island Legends,Bo Flood (collector),oceanic,Pacific Islands,Ancient oral traditions,Mythology collection,pending,"Tales from Micronesia, Melanesia, Polynesia, Australia"
analects-confucius,The Analects of Confucius,Confucius (disciples compiled),chinese,China,c. 5th century BCE,Philosophical sayings,pending,"Core Confucian text - ethics, governance, self-cultivation"
upanishads,The Upanishads,Various sages,indian,India,c. 800-200 BCE,Philosophical scripture,pending,"Principal Upanishads - Brahman, Atman, moksha philosophy"
bhagavad-gita,Bhagavad Gita,Vyasa (attributed),indian,India,c. 2nd century BCE - 2nd century CE,Philosophical scripture,pending,"18 chapters - Krishna's discourse on dharma, yoga, devotion"
coffin-texts,The Egyptian Coffin Texts,Anonymous (Ancient Egyptian),egyptian,Ancient Egypt,c. 2134-1650 BCE (Middle Kingdom),Funerary texts,pending,Bridge between Pyramid Texts and Book of Dead - spells for afterlife
